"","n","p","sigma","method","mean_logmse","sd_logmse","se_logmse","reps","sce","var_logmse","ci_lo","ci_hi"
"31",1000,40,3,"rlearner-xgboost",0.455604147964306,0.228886183939144,0.00723801666191945,1000,4,0.0523888851982236,0.441417635306944,0.469790660621668
"32",1000,40,3,"unrev-weight-xgboost",0.45789367965236,0.229212469303749,0.00724833471111276,1000,4,0.0525383560843221,0.443686943618579,0.472100415686141
"33",2000,20,1,"rev-weight-dnn",-1.50025687344045,0.25079187310656,0.00793073537676659,1000,5,0.0628965636162971,-1.51580111477891,-1.48471263210199
"34",2000,20,1,"unrev-weight-dnn",-1.42388118403209,0.251628745829256,0.00795719961592042,1000,5,0.0633170257276041,-1.43947729527929,-1.40828507278489
"35",2000,20,1,"rev-weight-xgboost",-1.00682096869754,0.131887773170164,0.00417065758745365,1000,5,0.0173943847117847,-1.01499545756895,-0.998646479826128
"36",2000,20,1,"rev-weight-lasso",-0.987771842380262,0.149768228800652,0.00473608724139288,1000,5,0.0224305223580845,-0.997054573373392,-0.978489111387132
"37",2000,20,1,"rlearner-lasso",-0.987217444051729,0.149002707361586,0.0047118793279415,1000,5,0.0222018068010824,-0.996452727534494,-0.977982160568963
"38",2000,20,1,"unrev-weight-lasso",-0.986654715162075,0.149095531327811,0.00471481467948872,1000,5,0.0222294774619223,-0.995895751933873,-0.977413678390277
"39",2000,20,1,"unrev-weight-xgboost",-0.861919017848639,0.154251837932897,0.00487787141135114,1000,5,0.0237936295056768,-0.871479645814887,-0.852358389882391
"40",2000,20,1,"rlearner-xgboost",-0.854898776203776,0.155331969764685,0.00491202817896814,1000,5,0.024128020830977,-0.864526351434553,-0.845271200972998
"41",2000,40,1,"rev-weight-dnn",-1.51207357040527,0.245444440603854,0.00777330342658927,997,6,0.060242973423339,-1.52730924512138,-1.49683789568915
"42",2000,40,1,"unrev-weight-dnn",-1.40098554383997,0.250769903969551,0.00794196254360532,997,6,0.0628855447368978,-1.41655179042544,-1.38541929725451
"43",2000,40,1,"rlearner-lasso",-0.92880282912809,0.163145157707723,0.00516685898576826,997,6,0.0266163424834778,-0.938929872740196,-0.918675785515984
"44",2000,40,1,"rev-weight-lasso",-0.928671839233681,0.162197714979981,0.00513685317352035,997,6,0.0263080987447272,-0.938740071453781,-0.918603607013581
"45",2000,40,1,"unrev-weight-lasso",-0.927011538656435,0.164450993246347,0.00520821521222006,997,6,0.0270441291797101,-0.937219640472386,-0.916803436840484
"46",2000,40,1,"rev-weight-xgboost",-0.920570810435948,0.134950798536043,0.00427393467173403,997,6,0.0182117180255156,-0.928947722392546,-0.912193898479349
"47",2000,40,1,"rlearner-xgboost",-0.770603428555493,0.149817429351252,0.00474476559368684,997,6,0.0224452621374174,-0.77990316911912,-0.761303687991867
"48",2000,40,1,"unrev-weight-xgboost",-0.763049984205814,0.15191281807417,0.00481112722037443,997,6,0.0230775042952359,-0.772479793557748,-0.75362017485388
"49",2000,20,3,"unrev-weight-dnn",-0.728837087285736,0.187158493565346,0.00591847123112462,1000,7,0.0350283017136498,-0.74043729089874,-0.717236883672731
"50",2000,20,3,"rev-weight-dnn",-0.727549439492841,0.179650196362795,0.0056810380260293,1000,7,0.0322741930531909,-0.738684274023859,-0.716414604961824
"51",2000,20,3,"rev-weight-lasso",-0.552479335081897,0.247717144262875,0.00783350391343198,1000,7,0.0613637835617541,-0.567833002752223,-0.53712566741157
"52",2000,20,3,"unrev-weight-lasso",-0.54767103664255,0.25022937578155,0.00791294764951875,1000,7,0.0626147405040244,-0.563180414035606,-0.532161659249493
"53",2000,20,3,"rlearner-lasso",-0.546018084840999,0.245979764443756,0.0077785631395397,1000,7,0.0605060445158057,-0.561264068594496,-0.530772101087501
"54",2000,20,3,"rev-weight-xgboost",-0.0700387209730767,0.187978113373073,0.00594438988520269,1000,7,0.0353357711073001,-0.081689725148074,-0.0583877167980795
"55",2000,20,3,"rlearner-xgboost",0.057277582266303,0.211960336775405,0.00670277437826631,1000,7,0.0449271843659433,0.0441401444849011,0.070415020047705
"56",2000,20,3,"unrev-weight-xgboost",0.0649026762617232,0.208988476308435,0.00660879589862793,1000,7,0.0436761832297214,0.0519494363004125,0.077855916223034
"57",2000,40,3,"unrev-weight-lasso",-0.430632292368994,0.2435977998504,0.00770323880533087,1000,8,0.0593398880919553,-0.445730640427443,-0.415533944310546
"58",2000,40,3,"rev-weight-lasso",-0.428728834041201,0.244633059532115,0.00773597659097047,1000,8,0.0598453338160431,-0.443891348159503,-0.413566319922899
"59",2000,40,3,"rlearner-lasso",-0.428126717266121,0.241649619253748,0.00764163192554323,1000,8,0.0583945384854815,-0.443104315840185,-0.413149118692056
"60",2000,40,3,"unrev-weight-dnn",-0.174080872783032,0.117913257786825,0.00372874460936951,1000,8,0.0139035363619021,-0.181389212217396,-0.166772533348668
"61",2000,40,3,"rev-weight-dnn",-0.167394747571587,0.106970636314485,0.00338270853511292,1000,8,0.0114427170335258,-0.174024856300408,-0.160764638842765
"62",2000,40,3,"rev-weight-xgboost",0.0250099349665527,0.177235696564991,0.00560468483831854,1000,8,0.0314124921368777,0.0140247526834484,0.035995117249657
"63",2000,40,3,"unrev-weight-xgboost",0.15492282690964,0.194712232815331,0.00615734143993425,1000,8,0.0379128536079315,0.142854437687369,0.166991216131911
"64",2000,40,3,"rlearner-xgboost",0.155760725964842,0.200807211723993,0.00635008159635485,1000,8,0.0403235362803646,0.143314566035987,0.168206885893698
