"","n","p","sigma","method","mean_logmse","sd_logmse","se_logmse","reps","sce","var_logmse","ci_lo","ci_hi"
"23",1000,20,3,"rlearner-xgboost",0.115254043610602,0.281435315298161,0.00889976610349819,1000,11,0.0792058366969753,0.0978105020477455,0.132697585173458
"24",1000,20,3,"unrev-weight-xgboost",0.120327593054248,0.29237940120234,0.00924584848715568,1000,11,0.085485714247439,0.102205730019423,0.138449456089073
"25",1000,40,3,"rev-weight-dnn",-0.786043843469021,0.142164453350564,0.00449563474900539,1000,12,0.0202107317964647,-0.794855287577072,-0.777232399360971
"26",1000,40,3,"unrev-weight-dnn",-0.760852527912296,0.158005445205067,0.00499657089556942,1000,12,0.0249657207144514,-0.770645806867612,-0.75105924895698
"27",1000,40,3,"rlearner-lasso",-0.680505915448192,0.255697616521077,0.00808586860482902,1000,12,0.0653812710945595,-0.696354217913657,-0.664657612982728
"28",1000,40,3,"rev-weight-lasso",-0.680163253436384,0.245051008945048,0.00774919331188648,1000,12,0.0600499969849861,-0.695351672327682,-0.664974834545087
"29",1000,40,3,"unrev-weight-lasso",-0.676303883411688,0.249639412000749,0.00789429135667539,1000,12,0.0623198360240798,-0.691776694470772,-0.660831072352604
"30",1000,40,3,"rev-weight-xgboost",-0.407835959635969,0.294349711856391,0.00930815518080464,1000,12,0.0866417528699403,-0.426079943790346,-0.389591975481592
"31",1000,40,3,"rlearner-xgboost",0.158005685125238,0.268065341097879,0.0084769703961924,1000,12,0.0718590270979223,0.141390823148701,0.174620547101775
"32",1000,40,3,"unrev-weight-xgboost",0.158791502246257,0.278699681372472,0.00881325776300213,1000,12,0.0776735123971172,0.141517517030773,0.176065487461742
"33",2000,20,1,"rev-weight-dnn",-1.39501473421478,0.0288073467137934,0.000910968289617539,1000,13,0.000829863224688705,-1.39680023206243,-1.39322923636713
"34",2000,20,1,"unrev-weight-dnn",-1.37570914809736,0.0376400628238813,0.00119028329795294,1000,13,0.00141677432938573,-1.37804210336135,-1.37337619283337
"35",2000,20,1,"rev-weight-xgboost",-1.33917288704947,0.110525957958209,0.00349513767719955,1000,13,0.0122159873825799,-1.34602335689678,-1.33232241720216
"36",2000,20,1,"rlearner-xgboost",-1.0320985639737,0.155462008321442,0.00491614035919808,1000,13,0.0241684360313362,-1.04173419907773,-1.02246292886968
"37",2000,20,1,"unrev-weight-xgboost",-1.02498063166206,0.154335243657701,0.00488050893195391,1000,13,0.0238193674348819,-1.03454642916869,-1.01541483415543
"38",2000,20,1,"rev-weight-lasso",-0.905238050402226,0.0825285575747223,0.00260978213944464,1000,13,0.00681096281536426,-0.910353223395537,-0.900122877408914
"39",2000,20,1,"unrev-weight-lasso",-0.905110129678476,0.0826096080936233,0.0026123451818973,1000,13,0.00682434734938204,-0.910230326234995,-0.899989933121958
"40",2000,20,1,"rlearner-lasso",-0.90352411347463,0.0827633948550301,0.00261720834629756,1000,13,0.00684977952792963,-0.908653841833373,-0.898394385115887
"41",2000,20,3,"rev-weight-dnn",-1.15458556731772,0.0727401637862973,0.00230024594938397,1000,14,0.00529113142765735,-1.15909404937851,-1.15007708525693
"42",2000,20,3,"unrev-weight-dnn",-1.15143633626803,0.0783142771931104,0.00247651489240007,1000,14,0.00613312601227933,-1.15629030545713,-1.14658236707892
"43",2000,20,3,"rev-weight-lasso",-0.796241135442019,0.138498004127331,0.00437969144429766,1000,14,0.0191816971472541,-0.804825330672842,-0.787656940211195
"44",2000,20,3,"rlearner-lasso",-0.795073017510815,0.140891436593775,0.00445537842449524,1000,14,0.0198503969054577,-0.803805559222826,-0.786340475798805
"45",2000,20,3,"unrev-weight-lasso",-0.793712132719608,0.142137049624327,0.00449476816709253,1000,14,0.0202029408759084,-0.802521878327109,-0.784902387112107
"46",2000,20,3,"rev-weight-xgboost",-0.635768793041554,0.227107828056458,0.00718178011112299,1000,14,0.0515779655645217,-0.649845082059355,-0.621692504023753
"47",2000,20,3,"rlearner-xgboost",-0.166308977714777,0.252107640618134,0.00797234359884485,1000,14,0.0635582624580424,-0.181934771168513,-0.150683184261041
"48",2000,20,3,"unrev-weight-xgboost",-0.15681806988091,0.24422654040943,0.0077231213275695,1000,14,0.0596466030403589,-0.171955387682946,-0.141680752078874
"49",2000,40,1,"rev-weight-dnn",-1.29041485125919,0.0326843704148837,0.00103357054399655,1000,15,0.00106826806941732,-1.29244064952542,-1.28838905299296
"50",2000,40,1,"rev-weight-xgboost",-1.28541917380324,0.122554491891727,0.00387551331862495,1000,15,0.0150196034828394,-1.29301517990775,-1.27782316769874
"51",2000,40,1,"unrev-weight-dnn",-1.25318147424203,0.0480034042901017,0.0015180009299862,1000,15,0.00230432682343896,-1.2561567560648,-1.25020619241926
"52",2000,40,1,"rlearner-xgboost",-0.957892052131193,0.171126848582016,0.00541150610325927,1000,15,0.0292843983056123,-0.968498604093581,-0.947285500168805
"53",2000,40,1,"unrev-weight-xgboost",-0.950991091450073,0.163447526559648,0.00516866461849353,1000,15,0.0267150939384669,-0.96112167410232,-0.940860508797825
"54",2000,40,1,"rev-weight-lasso",-0.897190969947646,0.0789723161460283,0.0024973239112034,1000,15,0.00623662671746824,-0.902085724813605,-0.892296215081687
"55",2000,40,1,"rlearner-lasso",-0.896857830067871,0.0791173995683102,0.00250191185185483,1000,15,0.00625956291445165,-0.901761577297507,-0.891954082838236
"56",2000,40,1,"unrev-weight-lasso",-0.895821368168181,0.0801396023194628,0.00253423674109615,1000,15,0.00642235585992164,-0.900788472180729,-0.890854264155632
"57",2000,40,3,"rev-weight-dnn",-1.09472917516339,0.0708778975181025,0.00224135591921199,1000,16,0.00502367635658664,-1.09912223276504,-1.09033611756173
"58",2000,40,3,"unrev-weight-dnn",-1.09416141031403,0.0738662602735414,0.00233585624703203,1000,16,0.00545622440679855,-1.09873968855821,-1.08958313206985
"59",2000,40,3,"rlearner-lasso",-0.787948257358401,0.140217809282458,0.00443407645851668,1000,16,0.0196610340399718,-0.796639047217094,-0.779257467499708
"60",2000,40,3,"unrev-weight-lasso",-0.785729166388067,0.147239907599506,0.00465613470487175,1000,16,0.0216795903899111,-0.794855190409615,-0.776603142366518
"61",2000,40,3,"rev-weight-lasso",-0.784860018424704,0.144980343289362,0.00458468100747493,1000,16,0.0210192999403013,-0.793845993199355,-0.775874043650053
"62",2000,40,3,"rev-weight-xgboost",-0.594786292587969,0.216839090415445,0.00685705411471992,1000,16,0.0470191911321974,-0.60822611865282,-0.581346466523118
"63",2000,40,3,"unrev-weight-xgboost",-0.114124540347577,0.225484403053378,0.00713044290492101,1000,16,0.0508432160203384,-0.128100208441222,-0.100148872253932
"64",2000,40,3,"rlearner-xgboost",-0.114032768698245,0.235698222457191,0.00745343223417772,1000,16,0.0555536520694794,-0.128641495877233,-0.0994240415192568
